11/24/2019 9:30:50 PM: @@@@====MAIN====@@@@
11/24/2019 9:30:53 PM: Startup starts...
11/24/2019 9:30:53 PM: ConfigureServices starts...
11/24/2019 9:30:55 PM: Configure starts...
11/24/2019 9:30:55 PM: HomeController starts...
11/24/2019 9:30:56 PM: Home/Index starts...
11/24/2019 9:31:04 PM: api/User/Post starts...
11/24/2019 9:31:06 PM: HomeController starts...
11/24/2019 9:31:06 PM: Home/Init starts...
11/24/2019 9:34:19 PM: @@@@====MAIN====@@@@
11/24/2019 9:34:22 PM: Startup starts...
11/24/2019 9:34:22 PM: ConfigureServices starts...
11/24/2019 9:34:24 PM: Configure starts...
11/24/2019 9:34:25 PM: HomeController starts...
11/24/2019 9:34:25 PM: Home/Index starts...
11/24/2019 9:34:32 PM: api/User/Post starts...
11/24/2019 9:34:34 PM: HomeController starts...
11/24/2019 9:34:34 PM: Home/Init starts...
11/24/2019 9:34:42 PM: api/Word/Get starts...
11/24/2019 9:41:49 PM: @@@@====MAIN====@@@@
11/24/2019 9:41:50 PM: Startup starts...
11/24/2019 9:41:51 PM: ConfigureServices starts...
11/24/2019 9:41:51 PM: Configure starts...
11/24/2019 9:41:52 PM: HomeController starts...
11/24/2019 9:41:52 PM: Home/Index starts...
11/24/2019 9:41:59 PM: api/User/Post starts...
11/24/2019 9:42:01 PM: HomeController starts...
11/24/2019 9:42:01 PM: Home/Init starts...
11/24/2019 9:42:08 PM: api/Word/Get starts...
11/24/2019 9:42:14 PM: api/Word/Get starts...
11/24/2019 9:42:18 PM: api/Word/Get starts...
11/24/2019 9:42:22 PM: api/Word/Get starts...
11/24/2019 9:42:24 PM: api/Word/Get starts...
11/24/2019 9:42:26 PM: api/Word/Get starts...
11/24/2019 9:42:26 PM: api/Word/Get starts...
11/24/2019 9:45:42 PM: @@@@====MAIN====@@@@
11/24/2019 9:45:42 PM: Startup starts...
11/24/2019 9:45:42 PM: ConfigureServices starts...
11/24/2019 9:45:43 PM: Configure starts...
11/24/2019 9:45:43 PM: HomeController starts...
11/24/2019 9:45:43 PM: Home/Index starts...
11/24/2019 9:45:52 PM: api/User/Post starts...
11/24/2019 9:45:52 PM: HomeController starts...
11/24/2019 9:45:52 PM: Home/Init starts...
11/24/2019 9:45:55 PM: api/Word/Get starts...
11/24/2019 9:46:04 PM: api/Word/Get starts...
11/24/2019 9:46:06 PM: api/Word/Get starts...
11/24/2019 9:46:08 PM: api/Word/Get starts...
11/24/2019 9:46:10 PM: api/Word/Get starts...
11/24/2019 9:46:49 PM: @@@@====MAIN====@@@@
11/24/2019 9:46:49 PM: Startup starts...
11/24/2019 9:46:49 PM: ConfigureServices starts...
11/24/2019 9:46:49 PM: Configure starts...
11/24/2019 9:46:50 PM: HomeController starts...
11/24/2019 9:46:50 PM: Home/Index starts...
11/24/2019 9:46:57 PM: api/User/Post starts...
11/24/2019 9:46:58 PM: HomeController starts...
11/24/2019 9:46:58 PM: Home/Init starts...
11/24/2019 9:47:00 PM: api/Word/Get starts...
11/24/2019 9:47:03 PM: api/Word/Get starts...
11/24/2019 9:47:06 PM: api/Word/Get starts...
11/24/2019 9:47:08 PM: api/Word/Get starts...
11/24/2019 9:47:10 PM: api/Word/Get starts...
11/24/2019 9:47:10 PM: api/Word/Get starts...
11/24/2019 9:48:22 PM: @@@@====MAIN====@@@@
11/24/2019 9:48:22 PM: Startup starts...
11/24/2019 9:48:22 PM: ConfigureServices starts...
11/24/2019 9:48:22 PM: Configure starts...
11/24/2019 9:48:23 PM: HomeController starts...
11/24/2019 9:48:23 PM: Home/Index starts...
11/24/2019 9:48:29 PM: api/User/Post starts...
11/24/2019 9:48:30 PM: HomeController starts...
